City_ID,City,Cloudiness,Country,Current Description,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
392,Arona,75,ES,broken clouds,2022-02-10 02:41:02,30,28.0996,-16.681,70.79,9.22
393,Namatanai,61,PG,light rain,2022-02-10 02:41:02,71,-3.6667,152.4333,84.69,6.78
394,Adil-Yangiyurt,100,RU,overcast clouds,2022-02-10 02:41:03,84,43.5633,46.5846,41.05,13.38
395,Hobyo,100,SO,overcast clouds,2022-02-10 02:41:03,72,5.3505,48.5268,75.78,20.11
396,Aguimes,0,ES,clear sky,2022-02-10 02:41:04,36,27.9054,-15.4461,69.66,4.61
397,Falun,23,SE,few clouds,2022-02-10 02:41:04,74,60.6036,15.626,34.21,14.97
398,Nelson Bay,4,AU,clear sky,2022-02-10 02:41:05,61,-32.7167,152.15,92.77,4.0
399,Shingu,100,JP,light rain,2022-02-10 02:41:05,88,33.7333,135.9833,49.19,6.6
400,Vestmanna,75,FO,broken clouds,2022-02-10 02:41:06,74,62.1564,-7.1664,31.12,16.11
401,Hovd,99,MN,overcast clouds,2022-02-10 02:41:06,92,48.0056,91.6419,-4.56,0.07
402,Forestville,0,US,clear sky,2022-02-10 02:41:07,58,38.8451,-76.875,47.34,11.5
403,Nicoya,9,CR,clear sky,2022-02-10 02:41:08,72,10.1483,-85.452,78.35,8.1
404,Capreol,100,CA,mist,2022-02-10 02:41:08,94,46.706,-80.9225,33.55,13.8
405,Ondjiva,100,AO,light rain,2022-02-10 02:41:09,89,-17.0667,15.7333,67.87,6.24
406,Gandorhun,1,SL,clear sky,2022-02-10 02:41:09,98,7.5,-11.8333,72.93,1.41
407,Kupang,94,ID,light rain,2022-02-10 02:41:10,80,-10.1667,123.5833,82.49,5.68
