City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
56,Mar Del Plata,AR,70.09,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
57,Biak,ID,80.58,overcast clouds,-0.9131,122.8766,Penginapan Kim
59,Rikitea,PF,79.07,scattered clouds,-23.1203,-134.9692,People ThankYou
62,Sao Mateus,BR,73.74,few clouds,-18.7161,-39.8589,Hotel Rio Norte
65,Bandarbeyla,SO,72.28,overcast clouds,9.4942,50.8122,JABIR HOTEL
66,Puerto Ayora,EC,73.74,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
67,Karratha,AU,89.24,clear sky,-20.7377,116.8463,ibis Styles Karratha
78,Guayaramerin,BO,72.63,overcast clouds,-10.8368,-65.3614,Hostal Funf
80,Bluff,NZ,75.79,scattered clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
82,Boende,CD,73.08,overcast clouds,-0.2167,20.8667,
84,Hilo,US,76.73,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
85,Vaini,TO,84.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
86,Cidreira,BR,72.05,overcast clouds,-30.1811,-50.2056,Hotel Castelo
87,Port Blair,IN,82.44,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
91,Pochutla,MX,77.85,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
96,Puerto Escondido,MX,79.63,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
99,Ponta Do Sol,PT,70.72,overcast clouds,32.6667,-17.1,Hotel do Campo
100,Guinabsan,PH,82.62,overcast clouds,8.8975,125.4161,Wilmar Galindo
113,Kiunga,PG,79.43,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
114,Ewa Beach,US,80.55,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
116,Souillac,MU,74.35,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
119,Moerai,PF,79.97,light rain,-22.4333,-151.3333,Le Manotel
120,Carauari,BR,72.72,light rain,-4.8828,-66.8958,Hotel Fellip
121,Pinillos,CO,75.0,overcast clouds,8.9193,-74.4677,HOTEL CASA BLANCA
123,Kaeo,NZ,78.33,overcast clouds,-35.1,173.7833,Bushido Lodge
130,Kollo,NE,72.03,clear sky,13.3043,2.339,
142,Quatre Cocos,MU,74.08,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
147,Ipubi,BR,73.71,overcast clouds,-7.6519,-40.1489,Só Love Motel
148,Port Lincoln,AU,70.83,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
149,Katherine,AU,89.92,broken clouds,-14.4667,132.2667,Pine Tree Motel
150,Barinas,VE,84.24,overcast clouds,8.6226,-70.2075,Hotel Mastranto Suite
155,Cabo San Lucas,MX,71.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
157,Giyani,ZA,70.27,few clouds,-23.3025,30.7187,Kulani Country Lodge
159,Kapaa,US,78.78,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
163,Dingle,PH,82.83,few clouds,10.9995,122.6711,SEGAYA PROPERTY
172,Sinnamary,GF,75.88,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
173,Bubaque,GW,77.22,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
174,Lucea,JM,76.86,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
175,Georgetown,MY,82.33,scattered clouds,5.4112,100.3354,Cititel Penang
176,Estreito,BR,70.95,few clouds,-5.7833,-43.25,
178,Carolina,PR,76.89,scattered clouds,18.3808,-65.9574,Motel Fantasy Star
180,Pandan,PH,80.82,overcast clouds,14.0453,124.1694,Bonifacio Lodge
184,Antsohihy,MG,74.32,overcast clouds,-14.8796,47.9875,Hotel de Ville
185,Sao Filipe,CV,77.05,overcast clouds,14.8961,-24.4956,Hotel Xaguate
190,Acapulco,MX,78.62,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
199,Esmeralda,CU,72.64,clear sky,21.8525,-78.1169,Centro de Pioneros Exploradores
202,Mapiripan,CO,71.67,overcast clouds,2.8892,-72.1256,Monserrate
203,Kulhudhuffushi,MV,80.15,overcast clouds,6.6221,73.07,Haajy Guest House 1
206,Puerto Ayacucho,VE,76.64,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
208,Nouadhibou,MR,71.58,scattered clouds,20.931,-17.0347,El Medina
210,Manaure,CO,77.56,scattered clouds,11.7751,-72.4445,Hotel Palaaima
211,Cayenne,GF,75.24,light rain,4.9333,-52.3333,Hôtel Le Dronmi
213,Labuhan,ID,82.99,overcast clouds,-6.8844,112.2051,DoubleFAG
217,Tame,CO,73.33,overcast clouds,6.461,-71.73,Hospedaje Santa Ana
218,Kimbe,PG,87.37,light rain,-5.5502,150.1429,Kimbe Bay Hotel
219,Eyl,SO,70.45,few clouds,7.9803,49.8164,Amiin Hotel
222,Nouakchott,MR,70.72,clear sky,18.0858,-15.9785,HOTEL IMAN
226,Kanniyakumari,IN,76.89,overcast clouds,8.0833,77.5667,Sparsa
234,Pisco,PE,72.01,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
